ISD91230, n:140,time:22017, packet type:1, length:13, seq:1, unkbit:1, unk:16, crc:C39D, calccrc:C39D, valid:1, Raw:0x5AA50D0101FF90070007009DC3
ISD91230, n:141,time:22037, packet type:1, length:13, seq:2, unkbit:1, unk:16, crc:1B1F, calccrc:1B1F, valid:1, Raw:0x5AA50D0102FF90070007001F1B
ISD91230, n:142,time:22058, packet type:7, length:50, seq:4, unkbit:1, unk:0, crc:9A79, calccrc:9A79, valid:1, Raw:0x5AA5320704FF800A73218000A3218000C421800004228000CA218000A12180006F2280004823800009258000D1268000799A
ISD91230, n:143,time:22499, packet type:7, length:30, seq:5, unkbit:1, unk:0, crc:8BF6, calccrc:8BF6, valid:1, Raw:0x5AA51E0705FF800503278000F0268000902680003826800018268000F68B
ISD91230, n:144,time:22840, packet type:1, length:23, seq:17, unkbit:1, unk:1, crc:CC82, calccrc:CC82, valid:1, Raw:0x5AA5170111FF8168090200120003520000663C000082CC
ISD91230, n:145,time:22941, packet type:7, length:30, seq:6, unkbit:1, unk:0, crc:9919, calccrc:9919, valid:1, Raw:0x5AA51E0706FF8005E62580009D258000D52580000D268000E92580001999
ISD91230, n:146,time:23041, packet type:1, length:13, seq:3, unkbit:1, unk:0, crc:A724, calccrc:A724, valid:1, Raw:0x5AA50D0103FF800700070024A7
ISD91230, n:147,time:23382, packet type:7, length:30, seq:7, unkbit:1, unk:0, crc:24F0, calccrc:24F0, valid:1, Raw:0x5AA51E0707FF8005CB25800046268000642680003C26800041268000F024
ISD91230, n:148,time:23823, packet type:7, length:30, seq:8, unkbit:1, unk:0, crc:75E4, calccrc:75E4, valid:1, Raw:0x5AA51E0708FF80053026800036268000572680005C26800015268000E475
ISD91230, n:149,time:23844, packet type:1, length:23, seq:18, unkbit:1, unk:1, crc:4FB2, calccrc:4FB2, valid:1, Raw:0x5AA5170112FF81680902001700A1510000193D0000B24F
ISD91230, n:150,time:24044, packet type:1, length:13, seq:4, unkbit:1, unk:0, crc:BE60, calccrc:BE60, valid:1, Raw:0x5AA50D0104FF800700070060BE
ISD91230, n:151,time:24265, packet type:7, length:30, seq:9, unkbit:1, unk:0, crc:9BE3, calccrc:9BE3, valid:1, Raw:0x5AA51E0709FF800515268000032680001926800007268000D6258000E39B
ISD91230, n:152,time:24706, packet type:7, length:30, seq:10, unkbit:1, unk:0, crc:CE2E, calccrc:CE2E, valid:1, Raw:0x5AA51E070AFF8005F72580002B268000812680004E268000052680002ECE
ISD91230, n:153,time:24846, packet type:1, length:23, seq:19, unkbit:1, unk:1, crc:D81B, calccrc:D81B, valid:1, Raw:0x5AA5170113FF817009020014009B510000773C00001BD8
ISD91230, n:154,time:25127, packet type:7, length:30, seq:11, unkbit:1, unk:0, crc:FE4B, calccrc:FE4B, valid:1, Raw:0x5AA51E070BFF80054D2680008C2680001126800012268000382680004BFE
ISD91230, n:155,time:25570, packet type:7, length:30, seq:12, unkbit:1, unk:0, crc:3265, calccrc:3265, valid:1, Raw:0x5AA51E070CFF80054E268000202680000F2680000D2680000E2680006532
ISD91230, n:156,time:25851, packet type:1, length:23, seq:20, unkbit:1, unk:1, crc:3053, calccrc:3053, valid:1, Raw:0x5AA5170114FF817009020014008D510000713C00005330
ISD91230, n:157,time:26012, packet type:7, length:30, seq:13, unkbit:1, unk:0, crc:25F0, calccrc:25F0, valid:1, Raw:0x5AA51E070DFF80051A2680005B268000D1258000B225800000268000F025
ISD91230, n:158,time:26032, packet type:1, length:13, seq:6, unkbit:1, unk:0, crc:DE83, calccrc:DE83, valid:1, Raw:0x5AA50D0106FF800700070083DE
ISD91230, n:159,time:26453, packet type:7, length:30, seq:14, unkbit:1, unk:0, crc:5A01, calccrc:5A01, valid:1, Raw:0x5AA51E070EFF800548268000542680003B268000162680001F268000015A
ISD91230, n:160,time:26854, packet type:1, length:23, seq:21, unkbit:1, unk:1, crc:641C, calccrc:641C, valid:1, Raw:0x5AA5170115FF816809020012008D510000893C00001C64
ISD91230, n:161,time:26894, packet type:7, length:30, seq:15, unkbit:1, unk:0, crc:F363, calccrc:F363, valid:1, Raw:0x5AA51E070FFF800512268000F6258000DB258000FF2580003026800063F3
ISD91230, n:162,time:27035, packet type:1, length:13, seq:7, unkbit:1, unk:0, crc:66E2, calccrc:66E2, valid:1, Raw:0x5AA50D0107FF8007000700E266
ISD91230, n:163,time:27336, packet type:7, length:30, seq:16, unkbit:1, unk:0, crc:65B4, calccrc:65B4, valid:1, Raw:0x5AA51E0710FF800507268000652680004226800020268000EA258000B465
ISD91230, n:164,time:27777, packet type:7, length:30, seq:17, unkbit:1, unk:0, crc:20E9, calccrc:20E9, valid:1, Raw:0x5AA51E0711FF800583268000752680002726800011268000ED258000E920
ISD91230, n:165,time:27837, packet type:1, length:23, seq:22, unkbit:1, unk:1, crc:08A6, calccrc:08A6, valid:1, Raw:0x5AA5170116FF8168090200130099510000893C0000A608
ISD91230, n:166,time:28038, packet type:1, length:13, seq:8, unkbit:1, unk:0, crc:EC0B, calccrc:EC0B, valid:1, Raw:0x5AA50D0108FF80070007000BEC
ISD91230, n:167,time:28218, packet type:7, length:30, seq:18, unkbit:1, unk:0, crc:6F38, calccrc:6F38, valid:1, Raw:0x5AA51E0712FF8005372680001A268000102680001D26800000268000386F
ISD91230, n:168,time:28659, packet type:7, length:30, seq:19, unkbit:1, unk:0, crc:F1DE, calccrc:F1DE, valid:1, Raw:0x5AA51E0713FF8005142680003D268000812680009E26800044268000DEF1
ISD91230, n:169,time:28840, packet type:1, length:23, seq:23, unkbit:1, unk:1, crc:DDD9, calccrc:DDD9, valid:1, Raw:0x5AA5170117FF816709020013009B5100009D3C0000D9DD
ISD91230, n:170,time:29041, packet type:1, length:13, seq:9, unkbit:1, unk:0, crc:546A, calccrc:546A, valid:1, Raw:0x5AA50D0109FF80070007006A54
ISD91230, n:171,time:29101, packet type:7, length:30, seq:20, unkbit:1, unk:0, crc:72F9, calccrc:72F9, valid:1, Raw:0x5AA51E0714FF80051A2680000E2680004E2680001F268000D0258000F972
ISD91230, n:172,time:29542, packet type:7, length:30, seq:21, unkbit:1, unk:0, crc:CBC0, calccrc:CBC0, valid:1, Raw:0x5AA51E0715FF8005EF25800060268000682680005226800031268000C0CB
ISD91230, n:173,time:29843, packet type:1, length:23, seq:24, unkbit:1, unk:1, crc:EE37, calccrc:EE37, valid:1, Raw:0x5AA5170118FF816709020014009F5100007A3C000037EE
ISD91230, n:174,time:29984, packet type:7, length:30, seq:22, unkbit:1, unk:0, crc:7F8B, calccrc:7F8B, valid:1, Raw:0x5AA51E0716FF800544268000872680002C2680000C268000EA2580008B7F
ISD91230, n:175,time:30024, packet type:1, length:13, seq:10, unkbit:1, unk:0, crc:8CE8, calccrc:8CE8, valid:1, Raw:0x5AA50D010AFF8007000700E88C
ISD91230, n:176,time:30406, packet type:7, length:30, seq:23, unkbit:1, unk:0, crc:7E92, calccrc:7E92, valid:1, Raw:0x5AA51E0717FF8005FD258000212680000F2680003226800064268000927E
ISD91230, n:177,time:30847, packet type:1, length:23, seq:25, unkbit:1, unk:1, crc:5CDD, calccrc:5CDD, valid:1, Raw:0x5AA5170119FF81690902001700CF5100009F3C0000DD5C
ISD91230, n:178,time:30848, packet type:7, length:30, seq:24, unkbit:1, unk:0, crc:36BC, calccrc:36BC, valid:1, Raw:0x5AA51E0718FF80055D26800053268000262680008C26800063268000BC36
ISD91230, n:179,time:31028, packet type:1, length:13, seq:11, unkbit:1, unk:0, crc:3489, calccrc:3489, valid:1, Raw:0x5AA50D010BFF80070007008934
ISD91230, n:180,time:31289, packet type:7, length:30, seq:25, unkbit:1, unk:0, crc:934C, calccrc:934C, valid:1, Raw:0x5AA51E0719FF80052B2680005D268000792680000B268000FD2580004C93
ISD91230, n:181,time:31730, packet type:7, length:30, seq:26, unkbit:1, unk:0, crc:4A65, calccrc:4A65, valid:1, Raw:0x5AA51E071AFF80055026800037268000272680003E26800009268000654A
ISD91230, n:182,time:31851, packet type:1, length:23, seq:26, unkbit:1, unk:1, crc:EDCC, calccrc:EDCC, valid:1, Raw:0x5AA517011AFF81690902001700B05100006E3C0000CCED
ISD91230, n:183,time:32031, packet type:1, length:13, seq:12, unkbit:1, unk:0, crc:2DCD, calccrc:2DCD, valid:1, Raw:0x5AA50D010CFF8007000700CD2D
ISD91230, n:184,time:32172, packet type:7, length:30, seq:27, unkbit:1, unk:0, crc:9987, calccrc:9987, valid:1, Raw:0x5AA51E071BFF800563268000512680007E2680003B2680003A2680008799
